{\textsc{country}}	0.8898674817	0.9344169923	0.9129802477	0.9381652927
{\textsc{located in}}	0.8329151741	0.8831616177	0.8654543302	0.8994310318
{\textsc{shares border}}	0.7579036587	0.7078100264	0.7961551468	0.8075197889
{\textsc{instance of}}	0.7863887446	0.8568158436	0.8477809499	0.840149177
{\textsc{sport}}	0.9752828942	0.9827711771	0.9822305452	0.9822509832
{\textsc{citizenship}}	0.9001242898	0.9448327276	0.9040526033	0.9417109309
{\textsc{part of}}	0.5622775801	0.4854492754	0.6268656716	0.5113043478
{\textsc{subclass of}}	0.5230044579	0.4389692905	0.5272177419	0.5907518532
